# DraftSheets re-scored for San Diego City Slackers (12 tm, QB1/RB2/WR3/TE1/FLEX1 RB/WR, 0 PPR). Pts = ECR-blended 16-game projection; VBD vs baselines QB14, RB44, WR47, TE12.
Player,Position,Team,Bye,ECRRank,ECRTier,PosRank,Upside,Bust,MissedGames,Low,Avg,High,Pts,VBD,Tier,ECRvsADP
Gunnar Helm,TE,TEN,9,187,8,25,3 out of 5,4 out of 5,3.0,41.98,47.84,53.29,50.29,-37.13,8,67
Travis Hunter,WR,JAX,7,188,8,75,3 out of 5,4 out of 5,3.848,46.21,46.21,46.21,49.57,-30.04,8,6
Oronde Gadsden II,TE,LAC,7,191,8,26,3 out of 5,4 out of 5,3.0,32.25,42.15,54.29,46.64,-40.78,8,-4
Rashod Bateman,WR,BAL,13,193,8,76,3 out of 5,4 out of 5,3.848,58.4,68.21,78.16,66.07,-13.54,7,
Malik Davis,RB,DAL,14,194,8,61,-,-,4.0,32.13,47.66,62.33,49.29,-27.31,9,75
Pat Freiermuth,TE,PIT,9,195,8,27,3 out of 5,3 out of 5,3.0,51.08,62.22,69.03,59.75,-27.66,6,3
Sean Tucker,RB,TB,10,197,8,62,3 out of 5,4 out of 5,4.0,18.71,21.44,24.47,29.84,-46.76,9,63
Nicholas Singleton,RB,TEN,9,198,8,63,3 out of 5,4 out of 5,4.0,52.79,55.11,57.56,54.5,-22.1,8,38
Cade Otton,TE,TB,10,200,8,28,2 out of 5,3 out of 5,3.0,43.76,56.67,72.34,57.08,-30.34,7,56
Chris Bell,WR,MIA,6,201,8,77,4 out of 5,4 out of 5,3.848,64.85,75.6,86.35,70.74,-8.88,7,24
